
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     81.1      607,676,267          1  607,676,267.0  607,676,267.0  607,676,267  607,676,267          0.0  other        MPI_Init          
     13.8      103,403,939          1  103,403,939.0  103,403,939.0  103,403,939  103,403,939          0.0  other        MPI_Finalize      
      4.2       31,704,136        774       40,961.4        5,268.0        1,835   11,277,530    409,996.7  collectives  MPI_Allreduce     
      0.4        3,087,520          1    3,087,520.0    3,087,520.0    3,087,520    3,087,520          0.0  collectives  MPI_Alltoallv     
      0.3        2,091,501          3      697,167.0        4,560.0        3,240    2,083,701  1,200,773.8  collectives  MPI_Allgatherv    
      0.1          652,159        240        2,717.3          715.5          167       93,256     11,360.0  collectives  MPI_Barrier       
      0.1          497,298         10       49,729.8       43,114.5        2,899      108,755     40,417.5  collectives  MPI_Reduce_scatter
      0.0          306,935          1      306,935.0      306,935.0      306,935      306,935          0.0  collectives  MPI_Scan          
      0.0          258,741        337          767.8          265.0          148      132,640      7,216.3  collectives  MPI_Bcast         
      0.0           22,171          4        5,542.8        5,097.5        2,446        9,530      3,093.3  collectives  MPI_Allgather     
      0.0           10,232          1       10,232.0       10,232.0       10,232       10,232          0.0  collectives  MPI_Alltoall      

