
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)               Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ----------------  ------------------------
     43.2  133,355,155,084         96  1,389,116,198.8         54,458.5          1,018  44,574,795,378   7,677,169,537.1  epoll_wait              
     14.4   44,496,766,876          5  8,899,353,375.2    125,200,440.0     14,427,756  43,905,200,131  19,569,543,993.2  sem_wait                
     14.3   44,143,304,415        455     97,018,251.5    100,121,427.0          1,137     131,875,743      16,982,884.6  poll                    
     14.3   44,000,731,994         11  4,000,066,544.9  4,000,070,350.0  4,000,022,405   4,000,076,718          15,044.8  sem_timedwait           
     13.6   41,912,882,422        154    272,161,574.2          6,616.5          1,019  15,016,610,175   1,948,130,729.1  read                    
      0.2      493,474,625      4,582        107,698.5         31,870.0          1,049      32,915,524         654,430.6  ioctl                   
      0.0       49,216,858         13      3,785,912.2         60,254.0         39,190      40,822,377      11,270,676.9  pthread_cond_wait       
      0.0       11,739,660        203         57,830.8          3,309.0          1,052      10,745,608         753,889.4  open                    
      0.0        9,922,616          9      1,102,512.9         40,287.0          1,575       6,134,874       2,213,846.9  fwrite                  
      0.0        9,374,148        133         70,482.3         20,384.0          1,035       3,921,160         346,888.1  write                   
      0.0        9,136,425        140         65,260.2          3,021.0          1,067       3,287,972         340,503.5  fopen                   
      0.0        8,025,576        648         12,385.1          3,169.0          1,218       3,418,709         143,085.8  fgets                   
      0.0        6,881,447         14        491,531.9         19,961.5          1,077       6,673,095       1,779,194.4  pthread_cond_broadcast  
      0.0        5,862,013         11        532,910.3         24,366.0          1,338       5,623,827       1,688,577.7  writev                  
      0.0        5,086,237          1      5,086,237.0      5,086,237.0      5,086,237       5,086,237               0.0  nanosleep               
      0.0        5,035,975         13        387,382.7         20,667.0         19,066       3,913,738       1,070,322.3  pthread_mutex_lock      
      0.0        1,511,945         37         40,863.4          4,599.0          3,219       1,137,491         185,683.4  mmap64                  
      0.0          665,089          8         83,136.1         72,267.0         63,216         131,958          24,183.7  pthread_create          
      0.0          556,221         91          6,112.3          1,296.0          1,006         227,700          25,488.9  fclose                  
      0.0          325,443          2        162,721.5        162,721.5        161,286         164,157           2,030.1  usleep                  
      0.0          284,318        143          1,988.2          1,376.0          1,002          14,851           1,861.2  socket                  
      0.0          249,383         63          3,958.5          3,181.0          1,311          13,612           2,229.2  open64                  
      0.0          233,074          7         33,296.3         34,647.0          2,220          78,752          24,828.3  fputs                   
      0.0          208,408         32          6,512.8          3,079.5          1,113          22,870           6,520.6  sendmsg                 
      0.0          134,518         19          7,079.9          1,895.0          1,002          16,976           6,213.9  recvmsg                 
      0.0          123,387          4         30,846.8         28,694.0          1,095          64,904          29,327.2  fflush                  
      0.0          102,106         10         10,210.6         10,389.0          5,332          15,399           3,911.9  openat                  
      0.0          100,266         14          7,161.9          6,644.5          1,592          13,340           3,408.8  shmget                  
      0.0           94,580         53          1,784.5          1,611.0          1,001           4,029             741.4  epoll_ctl               
      0.0           80,863          9          8,984.8          7,197.0          7,003          19,746           4,149.8  fputc                   
      0.0           66,454         10          6,645.4          5,374.5          1,508          14,729           5,320.3  fread                   
      0.0           64,206          4         16,051.5         10,768.0          7,861          34,809          12,688.8  connect                 
      0.0           25,733         13          1,979.5          1,306.0          1,004           4,297           1,238.0  mprotect                
      0.0           18,760          3          6,253.3          6,083.0          6,004           6,673             365.6  socketpair              
      0.0           18,655          5          3,731.0          3,675.0          2,273           5,459           1,177.7  pthread_spin_trylock    
      0.0           18,061          9          2,006.8          1,841.0          1,188           4,809           1,118.7  bind                    
      0.0           12,842          4          3,210.5          1,989.5          1,080           7,783           3,156.6  pthread_rwlock_trywrlock
      0.0           12,350          3          4,116.7          4,555.0          2,055           5,740           1,881.2  pipe2                   
      0.0           11,971          4          2,992.8          3,107.0          2,098           3,659             754.7  process_vm_writev       
      0.0           11,941          6          1,990.2          1,757.5          1,222           3,157             744.3  mmap                    
      0.0           11,169          2          5,584.5          5,584.5          2,947           8,222           3,730.0  pipe                    
      0.0           10,910          1         10,910.0         10,910.0         10,910          10,910               0.0  shutdown                
      0.0            8,607          1          8,607.0          8,607.0          8,607           8,607               0.0  shmdt                   
      0.0            8,148          2          4,074.0          4,074.0          2,179           5,969           2,679.9  send                    
      0.0            5,081          1          5,081.0          5,081.0          5,081           5,081               0.0  shmat                   
      0.0            3,701          3          1,233.7          1,150.0          1,016           1,535             269.4  fcntl                   
      0.0            3,635          3          1,211.7          1,143.0          1,135           1,357             125.9  shmctl                  
      0.0            2,496          1          2,496.0          2,496.0          2,496           2,496               0.0  process_vm_readv        
      0.0            2,131          1          2,131.0          2,131.0          2,131           2,131               0.0  fgets_unlocked          
      0.0            2,054          1          2,054.0          2,054.0          2,054           2,054               0.0  listen                  
      0.0            1,636          1          1,636.0          1,636.0          1,636           1,636               0.0  recvfrom                
      0.0            1,009          1          1,009.0          1,009.0          1,009           1,009               0.0  sigaction               

