
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.8,1644997407,44,37386304.7,152104.0,1176,876144687,141485455.7,epoll_wait
26.2,864775089,2,432387544.5,432387544.5,128999166,735775923,429055959.5,sem_wait
15.1,498100794,993,501612.1,19304.0,1077,311815169,9959273.8,ioctl
7.0,229763159,14,16411654.2,2233254.0,46571,135579999,35952546.8,poll
0.5,16302860,108,150952.4,3167.5,1023,14483145,1394995.7,fopen
0.3,9127696,116,78687.0,20238.5,1082,4230470,403973.0,write
0.3,8645789,11,785980.8,59698.0,39251,7818339,2333395.8,pthread_cond_wait
0.2,6897101,11,627009.2,20054.0,19233,6691968,2011519.7,pthread_cond_broadcast
0.2,5839461,7,834208.7,41600.0,3571,5648186,2122859.1,writev
0.2,5063315,1,5063315.0,5063315.0,5063315,5063315,0.0,nanosleep
0.1,4747711,6,791285.2,19821.0,18955,4222410,1689598.3,pthread_mutex_lock
0.0,1383085,95,14558.8,3488.0,1004,419037,47641.4,read
0.0,1360369,115,11829.3,11668.0,3115,88930,9562.5,fgets
0.0,1246415,37,33686.9,4715.0,3324,847252,138224.8,mmap64
0.0,1000904,8,125113.0,68174.5,59105,521903,160529.6,pthread_create
0.0,669598,134,4997.0,3362.5,1295,85898,7933.4,open
0.0,324409,2,162204.5,162204.5,161373,163036,1175.9,usleep
0.0,242955,67,3626.2,3138.0,1048,10176,1824.8,open64
0.0,195734,91,2150.9,1507.0,1016,7072,1449.3,socket
0.0,192245,32,6007.7,2812.0,1134,22548,6031.1,sendmsg
0.0,131327,19,6911.9,1692.0,1015,15675,6139.5,recvmsg
0.0,113541,64,1774.1,1339.5,1063,7083,1046.8,fclose
0.0,98754,4,24688.5,16008.0,8470,58268,22887.4,connect
0.0,87805,12,7317.1,5920.5,1692,17165,4390.4,shmget
0.0,65611,10,6561.1,5239.0,1448,14107,5283.9,fread
0.0,45680,23,1986.1,1592.0,1026,4497,1065.9,epoll_ctl
0.0,44037,5,8807.4,6716.0,5793,15195,4056.1,openat
0.0,29149,14,2082.1,1135.0,1000,6429,1801.5,mprotect
0.0,18588,3,6196.0,6321.0,5830,6437,322.2,socketpair
0.0,17761,2,8880.5,8880.5,2148,15613,9521.2,send
0.0,13910,6,2318.3,1991.5,1381,3659,917.4,mmap
0.0,11918,3,3972.7,4500.0,2084,5334,1688.0,pipe2
0.0,11886,4,2971.5,3019.5,2148,3699,682.2,process_vm_writev
0.0,11450,7,1635.7,1342.0,1077,2473,588.0,bind
0.0,8696,1,8696.0,8696.0,8696,8696,0.0,shmdt
0.0,7299,2,3649.5,3649.5,3337,3962,441.9,pipe
0.0,4710,1,4710.0,4710.0,4710,4710,0.0,shmat
0.0,3585,3,1195.0,1086.0,1071,1428,201.9,fcntl
0.0,2612,2,1306.0,1306.0,1248,1364,82.0,listen
0.0,2504,1,2504.0,2504.0,2504,2504,0.0,fgets_unlocked
0.0,2319,1,2319.0,2319.0,2319,2319,0.0,fwrite
0.0,2176,1,2176.0,2176.0,2176,2176,0.0,process_vm_readv
0.0,1103,1,1103.0,1103.0,1103,1103,0.0,recvfrom

