
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214923_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)     Max (ns)     StdDev (ns)            Name         
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -------------  ----------------------
     49.8    1,644,997,407         44   37,386,304.7      152,104.0        1,176  876,144,687  141,485,455.7  epoll_wait            
     26.2      864,775,089          2  432,387,544.5  432,387,544.5  128,999,166  735,775,923  429,055,959.5  sem_wait              
     15.1      498,100,794        993      501,612.1       19,304.0        1,077  311,815,169    9,959,273.8  ioctl                 
      7.0      229,763,159         14   16,411,654.2    2,233,254.0       46,571  135,579,999   35,952,546.8  poll                  
      0.5       16,302,860        108      150,952.4        3,167.5        1,023   14,483,145    1,394,995.7  fopen                 
      0.3        9,127,696        116       78,687.0       20,238.5        1,082    4,230,470      403,973.0  write                 
      0.3        8,645,789         11      785,980.8       59,698.0       39,251    7,818,339    2,333,395.8  pthread_cond_wait     
      0.2        6,897,101         11      627,009.2       20,054.0       19,233    6,691,968    2,011,519.7  pthread_cond_broadcast
      0.2        5,839,461          7      834,208.7       41,600.0        3,571    5,648,186    2,122,859.1  writev                
      0.2        5,063,315          1    5,063,315.0    5,063,315.0    5,063,315    5,063,315            0.0  nanosleep             
      0.1        4,747,711          6      791,285.2       19,821.0       18,955    4,222,410    1,689,598.3  pthread_mutex_lock    
      0.0        1,383,085         95       14,558.8        3,488.0        1,004      419,037       47,641.4  read                  
      0.0        1,360,369        115       11,829.3       11,668.0        3,115       88,930        9,562.5  fgets                 
      0.0        1,246,415         37       33,686.9        4,715.0        3,324      847,252      138,224.8  mmap64                
      0.0        1,000,904          8      125,113.0       68,174.5       59,105      521,903      160,529.6  pthread_create        
      0.0          669,598        134        4,997.0        3,362.5        1,295       85,898        7,933.4  open                  
      0.0          324,409          2      162,204.5      162,204.5      161,373      163,036        1,175.9  usleep                
      0.0          242,955         67        3,626.2        3,138.0        1,048       10,176        1,824.8  open64                
      0.0          195,734         91        2,150.9        1,507.0        1,016        7,072        1,449.3  socket                
      0.0          192,245         32        6,007.7        2,812.0        1,134       22,548        6,031.1  sendmsg               
      0.0          131,327         19        6,911.9        1,692.0        1,015       15,675        6,139.5  recvmsg               
      0.0          113,541         64        1,774.1        1,339.5        1,063        7,083        1,046.8  fclose                
      0.0           98,754          4       24,688.5       16,008.0        8,470       58,268       22,887.4  connect               
      0.0           87,805         12        7,317.1        5,920.5        1,692       17,165        4,390.4  shmget                
      0.0           65,611         10        6,561.1        5,239.0        1,448       14,107        5,283.9  fread                 
      0.0           45,680         23        1,986.1        1,592.0        1,026        4,497        1,065.9  epoll_ctl             
      0.0           44,037          5        8,807.4        6,716.0        5,793       15,195        4,056.1  openat                
      0.0           29,149         14        2,082.1        1,135.0        1,000        6,429        1,801.5  mprotect              
      0.0           18,588          3        6,196.0        6,321.0        5,830        6,437          322.2  socketpair            
      0.0           17,761          2        8,880.5        8,880.5        2,148       15,613        9,521.2  send                  
      0.0           13,910          6        2,318.3        1,991.5        1,381        3,659          917.4  mmap                  
      0.0           11,918          3        3,972.7        4,500.0        2,084        5,334        1,688.0  pipe2                 
      0.0           11,886          4        2,971.5        3,019.5        2,148        3,699          682.2  process_vm_writev     
      0.0           11,450          7        1,635.7        1,342.0        1,077        2,473          588.0  bind                  
      0.0            8,696          1        8,696.0        8,696.0        8,696        8,696            0.0  shmdt                 
      0.0            7,299          2        3,649.5        3,649.5        3,337        3,962          441.9  pipe                  
      0.0            4,710          1        4,710.0        4,710.0        4,710        4,710            0.0  shmat                 
      0.0            3,585          3        1,195.0        1,086.0        1,071        1,428          201.9  fcntl                 
      0.0            2,612          2        1,306.0        1,306.0        1,248        1,364           82.0  listen                
      0.0            2,504          1        2,504.0        2,504.0        2,504        2,504            0.0  fgets_unlocked        
      0.0            2,319          1        2,319.0        2,319.0        2,319        2,319            0.0  fwrite                
      0.0            2,176          1        2,176.0        2,176.0        2,176        2,176            0.0  process_vm_readv      
      0.0            1,103          1        1,103.0        1,103.0        1,103        1,103            0.0  recvfrom              

