timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/21 13:57:39.409, 0, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/21 13:57:40.411, 0, 0 %, 0 %, 111 MiB, 42.01 W
2026/09/21 13:57:41.414, 0, 2 %, 0 %, 449 MiB, 58.49 W
2026/09/21 13:57:42.418, 0, 0 %, 0 %, 457 MiB, 58.49 W
2026/09/21 13:57:43.421, 0, 0 %, 0 %, 457 MiB, 58.49 W
2026/09/21 13:57:44.423, 0, 23 %, 2 %, 561 MiB, 59.46 W
2026/09/21 13:57:45.425, 0, 26 %, 2 %, 675 MiB, 59.46 W
2026/09/21 13:57:46.427, 0, 28 %, 2 %, 789 MiB, 59.46 W
2026/09/21 13:57:47.430, 0, 29 %, 2 %, 1261 MiB, 58.98 W
2026/09/21 13:57:48.432, 0, 31 %, 3 %, 1503 MiB, 59.46 W
2026/09/21 13:57:49.434, 0, 28 %, 2 %, 1707 MiB, 59.46 W
2026/09/21 13:57:50.437, 0, 31 %, 3 %, 1955 MiB, 58.98 W
2026/09/21 13:57:51.439, 0, 28 %, 1 %, 1349 MiB, 60.44 W
2026/09/21 13:57:52.442, 0, 37 %, 2 %, 2425 MiB, 59.95 W
2026/09/21 13:57:53.444, 0, 29 %, 4 %, 2615 MiB, 59.95 W
2026/09/21 13:57:54.446, 0, 26 %, 1 %, 2825 MiB, 60.44 W
2026/09/21 13:57:55.448, 0, 26 %, 1 %, 3055 MiB, 60.44 W
2026/09/21 13:57:56.451, 0, 31 %, 5 %, 3307 MiB, 61.41 W
2026/09/21 13:57:57.453, 0, 39 %, 2 %, 3585 MiB, 61.89 W
2026/09/21 13:57:58.455, 0, 0 %, 0 %, 2129 MiB, 61.85 W
2026/09/21 13:57:59.457, 0, 25 %, 1 %, 2289 MiB, 63.84 W
2026/09/21 13:58:00.460, 0, 24 %, 1 %, 4227 MiB, 69.14 W
2026/09/21 13:58:01.462, 0, 6 %, 0 %, 2465 MiB, 71.04 W
2026/09/21 13:58:02.464, 0, 24 %, 1 %, 4597 MiB, 70.60 W
2026/09/21 13:58:03.466, 0, 37 %, 2 %, 2659 MiB, 71.04 W
2026/09/21 13:58:04.469, 0, 25 %, 1 %, 5003 MiB, 70.60 W
2026/09/21 13:58:05.471, 0, 37 %, 2 %, 2871 MiB, 71.09 W
2026/09/21 13:58:06.473, 0, 24 %, 1 %, 5451 MiB, 70.60 W
2026/09/21 13:58:07.475, 0, 37 %, 2 %, 3107 MiB, 71.09 W
2026/09/21 13:58:08.478, 0, 25 %, 1 %, 5943 MiB, 70.60 W
2026/09/21 13:58:09.480, 0, 25 %, 1 %, 3363 MiB, 71.04 W
2026/09/21 13:58:10.482, 0, 25 %, 1 %, 6483 MiB, 71.09 W
2026/09/21 13:58:11.485, 0, 38 %, 5 %, 3647 MiB, 70.12 W
2026/09/21 13:58:12.487, 0, 37 %, 2 %, 3647 MiB, 71.09 W
2026/09/21 13:58:13.489, 0, 26 %, 1 %, 7079 MiB, 71.09 W
2026/09/21 13:58:14.491, 0, 0 %, 0 %, 3959 MiB, 70.60 W
2026/09/21 13:58:15.494, 0, 43 %, 13 %, 7735 MiB, 71.09 W
2026/09/21 13:58:16.496, 0, 26 %, 1 %, 7735 MiB, 71.09 W
2026/09/21 13:58:17.498, 0, 0 %, 0 %, 4303 MiB, 70.60 W
2026/09/21 13:58:18.500, 0, 39 %, 2 %, 8455 MiB, 105.32 W
2026/09/21 13:58:19.503, 0, 26 %, 1 %, 8455 MiB, 71.09 W
2026/09/21 13:58:20.505, 0, 32 %, 4 %, 4679 MiB, 70.60 W
2026/09/21 13:58:21.511, 0, 39 %, 2 %, 4679 MiB, 71.09 W
2026/09/21 13:58:22.515, 0, 26 %, 1 %, 9247 MiB, 71.09 W
2026/09/21 13:58:23.518, 0, 26 %, 1 %, 9247 MiB, 71.04 W
2026/09/21 13:58:24.520, 0, 0 %, 0 %, 5095 MiB, 70.60 W
2026/09/21 13:58:25.522, 0, 39 %, 2 %, 5095 MiB, 71.53 W
2026/09/21 13:58:26.525, 0, 26 %, 1 %, 10119 MiB, 71.09 W
2026/09/21 13:58:27.527, 0, 26 %, 1 %, 10119 MiB, 71.09 W
2026/09/21 13:58:28.529, 0, 0 %, 0 %, 5551 MiB, 70.60 W
2026/09/21 13:58:29.531, 0, 39 %, 2 %, 5551 MiB, 71.57 W
2026/09/21 13:58:30.534, 0, 26 %, 1 %, 11079 MiB, 71.09 W
2026/09/21 13:58:31.536, 0, 26 %, 1 %, 11079 MiB, 71.09 W
2026/09/21 13:58:32.538, 0, 0 %, 0 %, 6055 MiB, 70.60 W
2026/09/21 13:58:33.540, 0, 39 %, 2 %, 6055 MiB, 71.53 W
2026/09/21 13:58:34.543, 0, 44 %, 20 %, 12135 MiB, 71.09 W
2026/09/21 13:58:35.545, 0, 26 %, 1 %, 12135 MiB, 71.09 W
2026/09/21 13:58:36.547, 0, 26 %, 1 %, 12135 MiB, 71.09 W
2026/09/21 13:58:37.549, 0, 0 %, 0 %, 6607 MiB, 70.60 W
2026/09/21 13:58:38.552, 0, 39 %, 2 %, 6607 MiB, 71.57 W
2026/09/21 13:58:39.554, 0, 39 %, 21 %, 13295 MiB, 71.09 W
2026/09/21 13:58:40.556, 0, 26 %, 1 %, 13295 MiB, 71.09 W
2026/09/21 13:58:41.558, 0, 26 %, 1 %, 13295 MiB, 71.09 W
2026/09/21 13:58:42.561, 0, 0 %, 0 %, 7215 MiB, 70.60 W
2026/09/21 13:58:43.563, 0, 35 %, 2 %, 7215 MiB, 71.57 W
2026/09/21 13:58:44.565, 0, 38 %, 2 %, 7215 MiB, 71.57 W
2026/09/21 13:58:45.567, 0, 25 %, 1 %, 14571 MiB, 71.09 W
2026/09/21 13:58:46.569, 0, 25 %, 1 %, 14571 MiB, 71.09 W
2026/09/21 13:58:47.572, 0, 25 %, 1 %, 14571 MiB, 71.09 W
2026/09/21 13:58:48.576, 0, 0 %, 0 %, 7883 MiB, 70.60 W
2026/09/21 13:58:49.578, 0, 37 %, 2 %, 7883 MiB, 71.53 W
2026/09/21 13:58:50.580, 0, 37 %, 2 %, 7883 MiB, 71.53 W
2026/09/21 13:58:51.582, 0, 25 %, 1 %, 15975 MiB, 71.09 W
2026/09/21 13:58:52.585, 0, 25 %, 1 %, 15975 MiB, 71.09 W
2026/09/21 13:58:53.587, 0, 24 %, 1 %, 15975 MiB, 71.09 W
2026/09/21 13:58:54.589, 0, 92 %, 12 %, 8619 MiB, 71.09 W
2026/09/21 13:58:55.591, 0, 0 %, 0 %, 8619 MiB, 70.60 W
2026/09/21 13:58:56.608, 0, 37 %, 2 %, 8619 MiB, 71.57 W
2026/09/21 13:58:57.610, 0, 39 %, 2 %, 8619 MiB, 71.57 W
2026/09/21 13:58:58.612, 0, 26 %, 1 %, 17521 MiB, 71.09 W
2026/09/21 13:58:59.615, 0, 26 %, 1 %, 17521 MiB, 71.09 W
2026/09/21 13:59:00.617, 0, 26 %, 1 %, 17521 MiB, 71.57 W
2026/09/21 13:59:01.619, 0, 75 %, 10 %, 9429 MiB, 70.60 W
2026/09/21 13:59:02.621, 0, 0 %, 0 %, 9429 MiB, 70.60 W
2026/09/21 13:59:03.624, 0, 39 %, 2 %, 9429 MiB, 71.57 W
2026/09/21 13:59:04.628, 0, 39 %, 2 %, 9429 MiB, 71.57 W
2026/09/21 13:59:05.630, 0, 26 %, 1 %, 19221 MiB, 71.57 W
2026/09/21 13:59:06.633, 0, 26 %, 1 %, 19221 MiB, 71.09 W
2026/09/21 13:59:07.635, 0, 26 %, 1 %, 19221 MiB, 71.57 W
2026/09/21 13:59:08.637, 0, 26 %, 1 %, 19221 MiB, 71.09 W
2026/09/21 13:59:09.639, 0, 0 %, 0 %, 10319 MiB, 70.60 W
2026/09/21 13:59:10.642, 0, 0 %, 0 %, 10319 MiB, 71.09 W
2026/09/21 13:59:11.644, 0, 39 %, 2 %, 10319 MiB, 71.57 W
2026/09/21 13:59:12.646, 0, 39 %, 2 %, 10319 MiB, 71.57 W
2026/09/21 13:59:13.648, 0, 26 %, 1 %, 21089 MiB, 71.57 W
2026/09/21 13:59:14.650, 0, 26 %, 1 %, 21089 MiB, 71.57 W
2026/09/21 13:59:15.653, 0, 26 %, 1 %, 21089 MiB, 71.57 W
2026/09/21 13:59:16.655, 0, 26 %, 1 %, 21089 MiB, 71.57 W
2026/09/21 13:59:17.657, 0, 13 %, 2 %, 11297 MiB, 71.09 W
2026/09/21 13:59:18.659, 0, 0 %, 0 %, 11297 MiB, 71.09 W
2026/09/21 13:59:19.662, 0, 39 %, 2 %, 11297 MiB, 72.01 W
2026/09/21 13:59:20.665, 0, 39 %, 2 %, 11297 MiB, 72.01 W
2026/09/21 13:59:21.668, 0, 39 %, 2 %, 23143 MiB, 136.08 W
