
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls      Avg (ns)         Med (ns)        Min (ns)        Max (ns)        StdDev (ns)               Name          
 --------  ---------------  ---------  ----------------  ---------------  -------------  ---------------  ----------------  ------------------------
     43.1  517,181,549,002         84   6,156,923,202.4         56,849.0          1,096  172,529,902,801  29,634,887,555.2  epoll_wait              
     14.4  172,361,370,271          6  28,726,895,045.2     73,283,467.0      1,541,898  171,799,991,688  70,091,392,262.2  sem_wait                
     14.3  172,024,493,463      1,730      99,436,123.4    100,120,782.0          1,119      134,285,246       8,844,251.4  poll                    
     14.3  172,007,663,225         43   4,000,178,214.5  4,000,067,990.0  4,000,055,915    4,004,778,615         718,290.7  sem_timedwait           
     13.7  164,842,075,526        141   1,169,092,734.2          8,456.0          1,048   15,016,447,769   3,991,407,259.2  read                    
      0.1      646,309,402      4,625         139,742.6         30,535.0          1,019       32,565,045         747,875.5  ioctl                   
      0.0       45,877,674         12       3,823,139.5         56,191.5         39,249       38,270,207      11,017,212.5  pthread_cond_wait       
      0.0       17,491,036        128         136,648.7         20,439.0          1,549        8,049,614         794,306.6  write                   
      0.0       12,572,959        139          90,452.9          2,859.0          1,034        5,073,627         489,764.0  fopen                   
      0.0       12,301,945        615          20,003.2          3,228.0          1,213        7,942,595         324,808.3  fgets                   
      0.0       10,388,680         10       1,038,868.0         55,417.5          2,178        6,066,535       2,162,274.8  fwrite                  
      0.0        6,882,528         12         573,544.0         19,922.0          1,415        6,673,835       1,921,102.3  pthread_cond_broadcast  
      0.0        6,052,349         12         504,362.4         17,121.0          1,402        5,807,920       1,670,315.3  writev                  
      0.0        5,086,446          1       5,086,446.0      5,086,446.0      5,086,446        5,086,446               0.0  nanosleep               
      0.0        5,006,324         16         312,895.3         20,279.0         19,018        4,030,055         997,841.9  pthread_mutex_lock      
      0.0        1,571,780         37          42,480.5          4,635.0          3,308        1,208,317         197,317.0  mmap64                  
      0.0          970,994          8         121,374.3         66,472.0         61,522          495,738         151,422.9  pthread_create          
      0.0          730,408        159           4,593.8          2,915.0          1,189           80,414           6,935.9  open                    
      0.0          539,121         94           5,735.3          1,304.0          1,002          242,689          26,248.0  fclose                  
      0.0          334,333          6          55,722.2         32,761.0          8,155          218,290          80,546.6  fputs                   
      0.0          325,028          2         162,514.0        162,514.0        161,275          163,753           1,752.2  usleep                  
      0.0          245,138         67           3,658.8          2,981.0          1,008           11,718           1,994.4  open64                  
      0.0          230,676        120           1,922.3          1,256.0          1,000            9,136           1,484.8  socket                  
      0.0          198,730         32           6,210.3          2,752.5          1,113           21,449           6,247.1  sendmsg                 
      0.0          153,970          9          17,107.8         22,835.0          7,217           32,322           9,613.6  fputc                   
      0.0          141,648         20           7,082.4          2,869.0            999           18,711           6,332.0  recvmsg                 
      0.0          117,283          3          39,094.3         53,530.0          9,452           54,301          25,673.9  fflush                  
      0.0           91,649         10           9,164.9          5,460.5          1,417           31,115          10,033.3  fread                   
      0.0           74,595         34           2,194.0          1,494.0          1,051           14,645           2,334.7  epoll_ctl               
      0.0           70,127         12           5,843.9          5,436.0          1,877           10,394           2,565.6  shmget                  
      0.0           65,046          4          16,261.5         14,813.5          6,509           28,910           9,575.4  connect                 
      0.0           52,481          5          10,496.2          9,265.0          6,152           15,319           4,185.5  openat                  
      0.0           20,208          1          20,208.0         20,208.0         20,208           20,208               0.0  shmdt                   
      0.0           19,584          9           2,176.0          1,382.0          1,037            5,108           1,425.7  mprotect                
      0.0           17,154          4           4,288.5          4,091.5          3,029            5,942           1,476.8  process_vm_writev       
      0.0           15,969          3           5,323.0          5,294.0          5,033            5,642             305.5  socketpair              
      0.0           15,231          9           1,692.3          1,586.0          1,198            2,894             541.0  bind                    
      0.0           12,852          6           2,142.0          1,754.5          1,261            3,553             929.0  mmap                    
      0.0           12,285          4           3,071.3          1,925.5          1,127            7,307           2,903.0  pthread_rwlock_trywrlock
      0.0           11,726          2           5,863.0          5,863.0          3,947            7,779           2,709.6  pipe                    
      0.0           10,936          3           3,645.3          3,888.0          1,755            5,293           1,781.4  pipe2                   
      0.0           10,301          1          10,301.0         10,301.0         10,301           10,301               0.0  shutdown                
      0.0            9,863          1           9,863.0          9,863.0          9,863            9,863               0.0  shmat                   
      0.0            8,324          2           4,162.0          4,162.0          2,517            5,807           2,326.4  send                    
      0.0            7,660          2           3,830.0          3,830.0          3,808            3,852              31.1  pthread_spin_trylock    
      0.0            5,553          5           1,110.6          1,101.0          1,020            1,241              81.4  fcntl                   
      0.0            3,457          3           1,152.3          1,180.0          1,045            1,232              96.5  shmctl                  
      0.0            2,605          1           2,605.0          2,605.0          2,605            2,605               0.0  process_vm_readv        
      0.0            2,052          1           2,052.0          2,052.0          2,052            2,052               0.0  fgets_unlocked          
      0.0            1,706          1           1,706.0          1,706.0          1,706            1,706               0.0  recvfrom                
      0.0            1,271          1           1,271.0          1,271.0          1,271            1,271               0.0  listen                  

