
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)    Max (ns)     StdDev (ns)                 Name               
 --------  ---------------  ---------  -----------  ---------  --------  -------------  ------------  ---------------------------------
     61.9   21,549,689,508      5,378  4,007,008.1   11,291.5     3,232  1,151,233,826  45,108,292.0  cudaMemcpy                       
     36.5   12,694,653,544     17,021    745,823.0    1,231.0       910     62,208,752   6,000,645.2  cudaDeviceSynchronize            
      0.7      258,910,411      2,825     91,649.7    6,761.0     3,035    107,310,862   2,050,425.8  cudaMalloc                       
      0.4      136,404,261      2,825     48,284.7    5,900.0     3,787      9,033,133     201,878.3  cudaFree                         
      0.2       61,863,563      4,683     13,210.2    5,390.0     2,999     30,692,862     449,550.6  cudaLaunchKernel                 
      0.2       53,099,117      4,637     11,451.2    5,713.0       882      4,075,160     103,028.7  cudaStreamSynchronize            
      0.1       24,626,542      2,847      8,650.0    3,705.0     2,374      1,700,190      63,741.3  cudaMemcpyAsync                  
      0.0       13,873,765      2,480      5,594.3    5,583.0     1,922         48,284       3,169.6  cudaMemsetAsync                  
      0.0          930,007          2    465,003.5  465,003.5     5,714        924,293     649,533.4  cudaHostAlloc                    
      0.0          550,153         18     30,564.1   11,403.5     6,132        236,117      56,422.7  cudaMemcpyToSymbol               
      0.0          473,300          3    157,766.7   93,477.0     5,323        374,500     192,802.5  cudaFreeHost                     
      0.0          313,203          1    313,203.0  313,203.0   313,203        313,203           0.0  cudaGetDeviceProperties_v2_v12000
      0.0           54,014          2     27,007.0   27,007.0    16,284         37,730      15,164.6  cudaStreamCreate                 
      0.0           16,104          2      8,052.0    8,052.0     4,175         11,929       5,482.9  cudaMemset                       
      0.0            9,773          2      4,886.5    4,886.5     4,611          5,162         389.6  cudaStreamDestroy                
      0.0            6,387          1      6,387.0    6,387.0     6,387          6,387           0.0  cudaMallocHost                   
      0.0            5,881          1      5,881.0    5,881.0     5,881          5,881           0.0  cudaEventCreateWithFlags         
      0.0            2,669          1      2,669.0    2,669.0     2,669          2,669           0.0  cudaEventDestroy                 
      0.0            1,423          1      1,423.0    1,423.0     1,423          1,423           0.0  cuModuleGetLoadingMode           

