
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     83.1      682,733,509          1  682,733,509.0  682,733,509.0  682,733,509  682,733,509          0.0  other        MPI_Init          
     13.9      114,602,278          1  114,602,278.0  114,602,278.0  114,602,278  114,602,278          0.0  other        MPI_Finalize      
      2.1       17,540,553        774       22,662.2        5,369.5        1,827      246,780     31,735.1  collectives  MPI_Allreduce     
      0.4        3,178,898          1    3,178,898.0    3,178,898.0    3,178,898    3,178,898          0.0  collectives  MPI_Alltoallv     
      0.3        2,096,851          3      698,950.3        4,374.0        1,493    2,090,984  1,205,537.4  collectives  MPI_Allgatherv    
      0.1          648,621        240        2,702.6          736.0          144       78,238     10,927.5  collectives  MPI_Barrier       
      0.1          519,718         10       51,971.8       48,479.0        2,002      106,768     40,950.4  collectives  MPI_Reduce_scatter
      0.0          392,889          1      392,889.0      392,889.0      392,889      392,889          0.0  collectives  MPI_Scan          
      0.0          269,041        335          803.1          302.0          152      124,645      6,797.9  collectives  MPI_Bcast         
      0.0           21,865          4        5,466.3        5,531.5        2,258        8,544      2,568.6  collectives  MPI_Allgather     
      0.0            9,438          1        9,438.0        9,438.0        9,438        9,438          0.0  collectives  MPI_Alltoall      

