Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     86.9   10,900,706,711        200  54,503,533.6  54,570,173.5  51,806,628  55,838,016    776,187.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      7.2      898,211,336        201   4,468,713.1   4,491,004.0   4,207,934   4,684,123    108,821.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      2.7      344,814,435        200   1,724,072.2   1,751,922.5     682,075   2,447,373    160,737.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      1.1      143,192,088         64   2,237,376.4     642,683.0      13,056  13,616,658  3,300,395.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.9      114,428,614        400     286,071.5     287,053.5     193,535     324,286     15,096.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.5       68,867,614          2  34,433,807.0  34,433,807.0  33,851,381  35,016,233    823,674.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.1       15,230,928        400      38,077.3      38,271.5      25,376      42,752      1,803.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1       12,081,183          3   4,027,061.0   4,026,655.0   3,996,160   4,058,368     31,106.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        9,099,481          2   4,549,740.5   4,549,740.5   4,527,613   4,571,868     31,293.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.1        8,956,276      1,600       5,597.7       5,344.0       3,616       9,760      1,453.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        8,409,056        400      21,022.6      20,959.0      11,296      25,920      2,362.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1        8,216,095          4   2,054,023.8   2,029,408.0      39,872   4,117,407  2,325,141.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::Particle…
      0.0        3,205,158        400       8,012.9       8,064.0       4,928       9,664        799.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,174,031        400       5,435.1       5,408.0       4,544       6,240        291.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0          968,055        200       4,840.3       4,800.0       4,320       5,440        240.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0          949,116        200       4,745.6       4,704.0       4,544       5,728        162.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0           44,031          1      44,031.0      44,031.0      44,031      44,031          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           33,536         10       3,353.6       1,424.0       1,376      10,816      3,894.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,400          1      18,400.0      18,400.0      18,400      18,400          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,952          1       1,952.0       1,952.0       1,952       1,952          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

