
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)    Max (ns)     StdDev (ns)                 Name               
 --------  ---------------  ---------  -----------  ---------  --------  -------------  ------------  ---------------------------------
     58.2   21,498,158,564      5,378  3,997,426.3   11,088.5     3,052  1,143,247,299  44,968,985.7  cudaMemcpy                       
     40.7   15,013,734,646     17,023    881,967.6    1,163.0       861     70,608,277   7,232,507.8  cudaDeviceSynchronize            
      0.4      142,790,146      2,783     51,308.0    5,828.0     3,195     11,045,090     241,098.1  cudaFree                         
      0.4      130,207,985      2,783     46,786.9    6,602.0     3,009      1,059,667     103,928.5  cudaMalloc                       
      0.2       63,404,425      4,550     13,935.0    5,571.0       795     10,459,605     187,066.5  cudaStreamSynchronize            
      0.1       33,162,102      4,683      7,081.4    5,361.0     2,989      2,655,181      49,832.2  cudaLaunchKernel                 
      0.1       24,205,983      2,805      8,629.6    3,763.0     2,387      1,701,342      63,619.5  cudaMemcpyAsync                  
      0.0       13,404,207      2,435      5,504.8    5,583.0     1,946         35,868       2,940.5  cudaMemsetAsync                  
      0.0          925,486          2    462,743.0  462,743.0     4,026        921,460     648,723.8  cudaHostAlloc                    
      0.0          522,591         18     29,032.8   11,329.5     5,488        219,447      52,938.5  cudaMemcpyToSymbol               
      0.0          426,692          3    142,230.7   72,115.0     5,834        348,743     181,889.5  cudaFreeHost                     
      0.0          146,742          1    146,742.0  146,742.0   146,742        146,742           0.0  cudaGetDeviceProperties_v2_v12000
      0.0           57,489          2     28,744.5   28,744.5    17,518         39,971      15,876.7  cudaStreamCreate                 
      0.0           16,545          2      8,272.5    8,272.5     4,193         12,352       5,769.3  cudaMemset                       
      0.0            9,573          2      4,786.5    4,786.5     4,611          4,962         248.2  cudaStreamDestroy                
      0.0            7,660          1      7,660.0    7,660.0     7,660          7,660           0.0  cudaMallocHost                   
      0.0            4,995          1      4,995.0    4,995.0     4,995          4,995           0.0  cudaEventCreateWithFlags         
      0.0            3,043          1      3,043.0    3,043.0     3,043          3,043           0.0  cudaEventDestroy                 
      0.0            1,296          1      1,296.0    1,296.0     1,296          1,296           0.0  cuModuleGetLoadingMode           

