
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.3,138009752929,96,1437601593.0,49723.0,1198,46124711652,7948556588.7,epoll_wait
14.8,46030545388,6,7671757564.7,72590181.5,805310,45451274125,18508795202.8,sem_wait
14.6,45629361692,471,96877625.7,100120419.0,1034,132167920,17257174.8,poll
14.1,44000713900,11,4000064900.0,4000068063.0,4000022225,4000073041,14375.7,sem_timedwait
11.9,37165524360,156,238240540.8,4495.0,1005,15010778505,1782923768.7,read
0.2,504320920,4584,110017.7,32687.5,1054,34719052,670936.9,ioctl
0.0,48276373,12,4023031.1,56125.0,39246,40208209,11549162.7,pthread_cond_wait
0.0,17506287,136,128722.7,20372.0,1077,8078253,769288.5,write
0.0,13575474,203,66874.3,3328.0,1154,12638795,886763.2,open
0.0,10816908,10,1081690.8,37186.5,1857,6798144,2319982.4,fwrite
0.0,8187326,139,58901.6,2986.0,1018,3135959,317151.4,fopen
0.0,7299684,766,9529.6,3126.5,1024,3525825,129132.4,fgets
0.0,6931479,13,533190.7,19692.0,1597,6724083,1860144.8,pthread_cond_broadcast
0.0,5918103,12,493175.3,16604.0,1299,5682401,1634307.7,writev
0.0,5087829,1,5087829.0,5087829.0,5087829,5087829,0.0,nanosleep
0.0,4693401,15,312893.4,20476.0,19150,3997238,1021529.1,pthread_mutex_lock
0.0,1695567,37,45826.1,4719.0,3483,1320403,215682.5,mmap64
0.0,992965,89,11156.9,1290.0,1042,705950,75027.7,fclose
0.0,641838,8,80229.8,69789.0,58222,144303,28480.2,pthread_create
0.0,451118,7,64445.4,31582.0,7982,275450,97031.9,fputs
0.0,324818,2,162409.0,162409.0,161202,163616,1707.0,usleep
0.0,265291,129,2056.5,1313.0,1007,9926,1642.6,socket
0.0,244243,65,3757.6,3193.0,1049,12798,1985.3,open64
0.0,216303,32,6759.5,3176.0,1191,21286,6610.1,sendmsg
0.0,145330,23,6318.7,1799.0,1028,19392,6167.4,recvmsg
0.0,135054,10,13505.4,10476.0,1121,23029,8587.2,fputc
0.0,98129,3,32709.7,34641.0,12062,51426,19752.9,fflush
0.0,96770,14,6912.1,7212.0,1780,10412,2819.0,shmget
0.0,96670,48,2014.0,1603.0,1025,8046,1211.0,epoll_ctl
0.0,90395,10,9039.5,9243.0,5314,13890,3371.3,openat
0.0,69129,10,6912.9,5616.5,1524,16119,5747.9,fread
0.0,59074,4,14768.5,10553.0,7744,30224,10499.7,connect
0.0,41385,4,10346.3,5988.0,3744,25665,10272.6,pthread_spin_trylock
0.0,24489,13,1883.8,1234.0,1007,4795,1262.8,mprotect
0.0,17046,3,5682.0,5766.0,5314,5966,334.0,socketpair
0.0,16685,7,2383.6,1343.0,1069,4365,1542.0,pthread_rwlock_trywrlock
0.0,16295,8,2036.9,1714.0,1402,4549,1027.5,bind
0.0,15496,4,3874.0,3471.5,2225,6328,1740.9,process_vm_writev
0.0,13960,3,4653.3,5507.0,2119,6334,2233.4,pipe2
0.0,12724,6,2120.7,1669.0,1335,3780,973.8,mmap
0.0,12583,2,6291.5,6291.5,3207,9376,4362.1,pipe
0.0,10738,1,10738.0,10738.0,10738,10738,0.0,shutdown
0.0,8915,1,8915.0,8915.0,8915,8915,0.0,shmdt
0.0,8322,2,4161.0,4161.0,2635,5687,2158.1,send
0.0,6487,6,1081.2,1050.5,1004,1192,81.7,fcntl
0.0,5885,1,5885.0,5885.0,5885,5885,0.0,shmat
0.0,2364,1,2364.0,2364.0,2364,2364,0.0,fgets_unlocked
0.0,2348,1,2348.0,2348.0,2348,2348,0.0,process_vm_readv
0.0,2110,1,2110.0,2110.0,2110,2110,0.0,listen
0.0,2053,2,1026.5,1026.5,1002,1051,34.6,shmctl
0.0,1351,1,1351.0,1351.0,1351,1351,0.0,recvfrom
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,sigaction

