timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 10:14:32.933, 0, 0 %, 0 %, 107 MiB, 41.90 W
2026/09/23 10:14:33.935, 0, 0 %, 0 %, 111 MiB, 41.90 W
2026/09/23 10:14:34.938, 0, 0 %, 0 %, 449 MiB, 58.82 W
2026/09/23 10:14:35.940, 0, 0 %, 0 %, 457 MiB, 58.82 W
2026/09/23 10:14:36.942, 0, 0 %, 0 %, 457 MiB, 58.86 W
2026/09/23 10:14:37.945, 0, 23 %, 2 %, 579 MiB, 59.31 W
2026/09/23 10:14:38.947, 0, 26 %, 2 %, 871 MiB, 61.73 W
2026/09/23 10:14:39.949, 0, 28 %, 2 %, 815 MiB, 59.31 W
2026/09/23 10:14:40.954, 0, 26 %, 2 %, 1333 MiB, 59.79 W
2026/09/23 10:14:41.956, 0, 20 %, 1 %, 1039 MiB, 58.82 W
2026/09/23 10:14:42.959, 0, 22 %, 2 %, 1145 MiB, 59.79 W
2026/09/23 10:14:43.961, 0, 32 %, 2 %, 1275 MiB, 59.35 W
2026/09/23 10:14:44.963, 0, 16 %, 1 %, 2253 MiB, 60.28 W
2026/09/23 10:14:45.965, 0, 30 %, 4 %, 2425 MiB, 59.31 W
2026/09/23 10:14:46.968, 0, 26 %, 1 %, 1621 MiB, 60.32 W
2026/09/23 10:14:47.970, 0, 25 %, 1 %, 1731 MiB, 59.35 W
2026/09/23 10:14:48.972, 0, 24 %, 1 %, 1851 MiB, 61.25 W
2026/09/23 10:14:49.974, 0, 24 %, 1 %, 3307 MiB, 62.70 W
2026/09/23 10:14:50.976, 0, 30 %, 6 %, 3585 MiB, 62.70 W
2026/09/23 10:14:51.978, 0, 33 %, 2 %, 2129 MiB, 63.19 W
2026/09/23 10:14:52.981, 0, 42 %, 4 %, 2289 MiB, 67.99 W
2026/09/23 10:14:53.984, 0, 24 %, 1 %, 4227 MiB, 68.48 W
2026/09/23 10:14:54.987, 0, 36 %, 2 %, 2465 MiB, 71.39 W
2026/09/23 10:14:55.989, 0, 26 %, 1 %, 4597 MiB, 70.90 W
2026/09/23 10:14:56.991, 0, 39 %, 2 %, 5003 MiB, 71.39 W
2026/09/23 10:14:57.994, 0, 26 %, 1 %, 2871 MiB, 70.42 W
2026/09/23 10:14:58.996, 0, 39 %, 2 %, 5451 MiB, 70.90 W
2026/09/23 10:14:59.998, 0, 28 %, 1 %, 3107 MiB, 70.42 W
2026/09/23 10:15:01.001, 0, 39 %, 2 %, 5943 MiB, 73.81 W
2026/09/23 10:15:02.003, 0, 26 %, 1 %, 5943 MiB, 70.90 W
2026/09/23 10:15:03.006, 0, 6 %, 0 %, 3529 MiB, 70.95 W
2026/09/23 10:15:04.008, 0, 20 %, 1 %, 3845 MiB, 70.90 W
2026/09/23 10:15:05.010, 0, 0 %, 0 %, 3845 MiB, 70.46 W
2026/09/23 10:15:06.014, 0, 39 %, 2 %, 4841 MiB, 124.87 W
2026/09/23 10:15:07.016, 0, 98 %, 48 %, 4541 MiB, 149.33 W
2026/09/23 10:15:08.018, 0, 98 %, 47 %, 4541 MiB, 131.55 W
2026/09/23 10:15:09.022, 0, 98 %, 45 %, 5113 MiB, 140.25 W
2026/09/23 10:15:10.024, 0, 97 %, 45 %, 4541 MiB, 134.93 W
2026/09/23 10:15:11.026, 0, 99 %, 44 %, 4541 MiB, 72.36 W
2026/09/23 10:15:12.028, 0, 98 %, 45 %, 4541 MiB, 144.50 W
2026/09/23 10:15:13.031, 0, 98 %, 44 %, 4541 MiB, 141.21 W
2026/09/23 10:15:14.033, 0, 98 %, 42 %, 4541 MiB, 143.05 W
2026/09/23 10:15:15.035, 0, 95 %, 43 %, 4541 MiB, 145.47 W
2026/09/23 10:15:16.037, 0, 98 %, 44 %, 4541 MiB, 138.41 W
2026/09/23 10:15:17.040, 0, 92 %, 41 %, 5113 MiB, 139.77 W
2026/09/23 10:15:18.043, 0, 41 %, 1 %, 4541 MiB, 73.33 W
2026/09/23 10:15:19.045, 0, 0 %, 0 %, 111 MiB, 72.40 W
2026/09/23 10:15:20.047, 0, 0 %, 0 %, 111 MiB, 71.87 W
2026/09/23 10:15:21.049, 0, 0 %, 0 %, 111 MiB, 71.92 W
2026/09/23 10:15:22.051, 0, 0 %, 0 %, 111 MiB, 45.78 W
