Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     84.6    9,161,062,416        200  45,805,312.1  49,217,439.5  19,059,376  53,259,478  7,954,107.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      8.5      923,952,344        203   4,551,489.4   4,566,558.0   4,175,105   4,801,948    111,301.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      4.0      433,729,621        200   2,168,648.1   2,193,456.0   1,158,168   2,834,602    144,041.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      1.3      143,903,512         64   2,248,492.4     642,347.0      13,152  13,567,833  3,324,036.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      1.1      114,530,961        400     286,327.4     287,902.0     191,967     320,702     15,910.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1       15,225,071        400      38,062.7      38,176.0      25,600      42,879      1,674.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1       12,111,078          3   4,037,026.0   4,021,506.0   4,014,243   4,075,329     33,369.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        9,190,458      1,600       5,744.0       5,440.0       3,648      10,175      1,665.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        8,263,558        400      20,658.9      20,063.5      11,040      25,024      2,386.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        3,092,772        400       7,731.9       7,872.0       4,960       9,568        819.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,256,169        400       5,640.4       5,632.0       4,416       6,912        358.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        1,288,440        200       6,442.2       6,432.0       6,048       6,912        156.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0          889,876        200       4,449.4       4,416.0       3,904       5,216        251.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0           43,999          1      43,999.0      43,999.0      43,999      43,999          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           33,696         10       3,369.6       1,408.0       1,408      11,040      3,891.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,208          1      18,208.0      18,208.0      18,208      18,208          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,984          1       1,984.0       1,984.0       1,984       1,984          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

