timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:05:09.101, 0, 0 %, 0 %, 107 MiB, 43.98 W
2026/09/23 13:05:09.102, 1, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 13:05:09.103, 2, 0 %, 0 %, 107 MiB, 43.04 W
2026/09/23 13:05:09.104, 3, 0 %, 0 %, 107 MiB, 42.03 W
2026/09/23 13:05:10.106, 0, 0 %, 0 %, 421 MiB, 61.37 W
2026/09/23 13:05:10.108, 1, 3 %, 0 %, 421 MiB, 58.90 W
2026/09/23 13:05:10.109, 2, 0 %, 0 %, 421 MiB, 60.47 W
2026/09/23 13:05:10.110, 3, 0 %, 0 %, 421 MiB, 58.98 W
2026/09/23 13:05:11.112, 0, 0 %, 0 %, 429 MiB, 61.41 W
2026/09/23 13:05:11.113, 1, 0 %, 0 %, 429 MiB, 59.38 W
2026/09/23 13:05:11.114, 2, 0 %, 0 %, 429 MiB, 60.47 W
2026/09/23 13:05:11.116, 3, 0 %, 0 %, 429 MiB, 58.98 W
2026/09/23 13:05:12.118, 0, 26 %, 2 %, 713 MiB, 61.89 W
2026/09/23 13:05:12.119, 1, 26 %, 2 %, 611 MiB, 59.35 W
2026/09/23 13:05:12.120, 2, 25 %, 2 %, 713 MiB, 60.96 W
2026/09/23 13:05:12.121, 3, 24 %, 2 %, 713 MiB, 59.91 W
2026/09/23 13:05:13.123, 0, 27 %, 2 %, 717 MiB, 62.34 W
2026/09/23 13:05:13.125, 1, 27 %, 2 %, 955 MiB, 59.83 W
2026/09/23 13:05:13.126, 2, 25 %, 2 %, 955 MiB, 63.84 W
2026/09/23 13:05:13.127, 3, 25 %, 2 %, 717 MiB, 59.91 W
2026/09/23 13:05:14.129, 0, 29 %, 2 %, 1167 MiB, 61.85 W
2026/09/23 13:05:14.130, 1, 30 %, 2 %, 849 MiB, 60.36 W
